Google Public DNS,8.8.8.8,8.8.4.4
OpenDNS,208.67.222.222,208.67.220.220
OpenDNS - 2,208.67.222.220,208.67.220.222
andex,77.88.8.1,77.88.8.8
Cloudflare,1.1.1.1,1.0.0.1
Norton ConnectSafe Basic,199.85.126.10,199.85.127.10
Comodo Secure,8.26.56.26,8.20.247.20
Dyn,216.146.35.35,216.146.36.36
Norton DNS,198.153.192.1,198.153.194.1
Comodo,156.154.70.22,156.154.71.22
VeriSign Public DNS,64.6.64.6,64.6.65.6
Qwest,205.171.3.65,205.171.2.65
Sprint,204.97.212.10,204.117.214.10
Safe DNS,195.46.39.39,195.46.39.40
DNS WATCH,84.200.69.80,84.200.70.40
Sprintlink,199.2.252.10,204.97.212.10
UltraDNS,204.69.234.1,204.74.101.1
Zen Internet,212.23.8.1,212.23.3.1
Orange DNS,195.92.195.94,195.92.195.95
Hurricane Electric,74.82.42.42,74.82.42.43
Freenom World,80.80.80.80,80.80.81.81
FDN,80.67.169.12,80.67.169.40
Neustar 1,156.154.70.1,156.154.71.1
Neustar 2,156.154.70.5,156.154.71.5
AdGuard,94.140.14.14,94.140.15.15
Quad9 Security,9.9.9.9,149.112.112.112
Quad9 No Security,9.9.9.10,149.112.112.10
NextDNS,45.90.28.230,45.90.30.230
Censurfridns,89.233.43.71,91.239.100.100
Shelter,91.92.251.5,91.92.250.178
